GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning,cmd_v.1,car_v,shiftLevel,均值,方差,标准差,均方根误差
2283.0,551837.41,121.51606649,37.43329541,64.05,295.69,2.8548,12.0,30.0,2.0,5,3.3828125,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551837.52,121.51606519,37.43329592,64.05,295.54,2.9412,12.0,30.0,2.0,5,3.4921875,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551837.62,121.51606432,37.43329617,64.05,295.18,3.3192000000000004,12.0,30.0,2.0,5,3.5546875,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551837.72,121.5160637,37.43329626,64.04,294.69,3.2976,12.0,30.0,2.0,5,3.625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551837.82,121.5160627,37.43329656,64.04,294.54,3.1356,12.0,30.0,2.0,5,3.625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551837.91,121.51606139,37.43329711,64.04,294.81,3.6719999999999997,12.0,30.0,2.0,5,3.71875,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551838.02,121.51606023,37.43329751,64.04,294.57,4.1292,12.0,30.0,2.0,5,3.890625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551838.12,121.51605974,37.43329748,64.04,293.79,4.1688,12.0,30.0,2.0,5,3.9140625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551838.22,121.51605715,37.43329861,64.05,293.76,3.2544,12.0,30.0,2.0,5,4.0234375,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551838.32,121.51605605,37.43329901,64.05,293.73,3.1968,12.0,30.0,2.0,5,4.140625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551838.41,121.51605501,37.43329941,64.05,293.77,4.1004000000000005,12.0,30.0,2.0,5,4.15625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551838.52,121.51605469,37.43329928,64.04,293.26,4.4856,12.0,30.0,2.0,5,4.2890625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551838.62,121.51605354,37.43329958,64.04,292.83,4.6692,12.0,30.0,2.0,5,4.2734375,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551838.72,121.51605248,37.43329995,64.04,292.72,3.996,12.0,30.0,2.0,5,4.2890625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
