GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning
2265.0,218970.26,121.51762158,37.43845096,37.79,274.82,899749.3036272426,4153104.6884349445,0.461,9.710500826370785,1.8,42.0,26.0,2.0
2265.0,218970.39,121.51762092,37.43845101,37.79,275.08,899749.2449276501,4153104.691179872,0.46,8.391551804465616,1.8,42.0,26.0,2.0
2265.0,218970.53,121.51762016,37.43845108,37.79,275.45,899749.1772679224,4153104.6957201846,0.459,6.051339728721569,1.8,42.0,25.0,2.0
2265.0,218970.66,121.51761945,37.43845114,37.79,275.79,899749.1140882589,4153104.6993628046,0.463,4.088656488328687,1.8,42.0,25.0,2.0
2265.0,218970.81,121.51761866,37.4384512,37.8,276.18,899749.0438258196,4153104.7026652237,0.468,2.05268495691213,1.8,42.0,25.0,2.0
2265.0,218970.94,121.51761794,37.43845127,37.8,276.53,899748.9797074803,4153104.707375641,0.47,-0.11193980319888333,1.8,42.0,25.0,2.0
2265.0,218971.09,121.51761712,37.43845136,37.8,276.89,899748.906629004,4153104.7138814433,0.465,-2.50875905685563,1.8,42.0,25.0,2.0
2265.0,218971.22,121.51761642,37.43845143,37.8,277.17,899748.8442813591,4153104.718676912,0.49,-4.0974694225827,1.8,42.0,24.0,2.0
2265.0,218971.37,121.51761562,37.43845151,37.8,277.5,899748.7730269106,4153104.724157447,0.482,-5.930755279626864,1.8,42.0,24.0,2.0
2265.0,218971.5,121.51761488,37.4384516,37.8,277.73,899748.7070312134,4153104.7310034554,0.459,-7.4811862522130905,1.8,42.0,23.0,2.0
2265.0,218971.64,121.51761415,37.43845168,37.81,277.96,899748.6419741965,4153104.7367816684,0.471,-8.709651381040803,1.8,42.0,23.0,2.0
2265.0,218971.77,121.51761342,37.43845175,37.81,278.16,899748.5769705113,4153104.741449562,0.477,-9.284022131428888,1.8,42.0,23.0,2.0
2265.0,218971.92,121.5176126,37.43845185,37.81,278.33,899748.5038387047,4153104.7490656907,0.471,-10.177906092787175,1.8,42.0,23.0,2.0
2265.0,218972.06,121.5176118,37.43845196,37.81,278.5,899748.4324242612,4153104.7578771887,0.494,-11.52613684279057,1.8,42.0,23.0,2.0
2265.0,218972.2,121.51761106,37.43845205,37.82,278.64,899748.3664285648,4153104.7647231976,0.475,-12.139974034335484,1.8,42.0,23.0,2.0
2265.0,218972.35,121.51761023,37.43845215,37.82,278.81,899748.2924114116,4153104.7722968026,0.476,-12.818401560150077,1.8,42.0,26.0,2.0
2265.0,218972.53,121.51760925,37.43845228,37.82,278.94,899748.2049540533,4153104.7825634885,0.465,-13.507804331057663,1.8,42.0,26.0,2.0
2265.0,218972.66,121.51760856,37.43845236,37.83,279.04,899748.1434384284,4153104.7885118066,0.485,-13.507804331057663,1.8,42.0,25.0,2.0
2265.0,218972.81,121.51760776,37.43845246,37.83,279.14,899748.0720773169,4153104.796212989,0.466,-14.196913083483189,1.8,42.0,25.0,2.0
2265.0,218972.96,121.51760695,37.43845258,37.83,279.25,899747.9997241967,4153104.806092285,0.487,-15.165952495243257,1.8,42.0,26.0,2.0
